2021-11-02 06:46:18.425 -07:00 | Error   | 00004641 | Stratus.swift:91 - UDPReceiver error, restarting: could not listen on port 41501: Error code: -9982(0x-26FE), Bad file descriptor
2021-11-02 07:14:42.110 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/2851943E-F119-4E65-BE67-71AA5544C92F.wav
2021-11-02 07:14:42.278 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/2851943E-F119-4E65-BE67-71AA5544C92F.json
2021-11-02 07:14:42.727 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/A584FA07-A80F-4C8F-BC74-93DBC7DB9238.wav
2021-11-02 07:14:42.889 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/A584FA07-A80F-4C8F-BC74-93DBC7DB9238.json
2021-11-02 07:14:43.232 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/D863C8AA-D37A-45D7-B939-A935D338F88C.wav
2021-11-02 07:14:43.424 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/D863C8AA-D37A-45D7-B939-A935D338F88C.json
2021-11-02 07:14:43.774 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/1B525F39-E596-4B1A-8B52-02E80C5825DE.wav
2021-11-02 07:14:43.833 -07:00 | Debug   | 0001823D | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-11-02 07:14:43.928 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/1B525F39-E596-4B1A-8B52-02E80C5825DE.json
2021-11-02 07:14:44.346 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/D6E8F49E-967C-41BB-9B47-25A6E797AB36.wav
2021-11-02 07:14:44.508 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/D6E8F49E-967C-41BB-9B47-25A6E797AB36.json
2021-11-02 07:14:44.732 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/B3C230AB-2FFE-4717-9B48-906C0C131DAC.wav
2021-11-02 07:14:44.896 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/B3C230AB-2FFE-4717-9B48-906C0C131DAC.json
2021-11-02 07:14:45.236 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/C71B5C41-EC4D-46D3-80AA-63616FF4BA76.wav
2021-11-02 07:14:45.389 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/C71B5C41-EC4D-46D3-80AA-63616FF4BA76.json
2021-11-02 07:14:45.698 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/F79DD1E8-36F8-43ED-B4F7-C9952D6BCD39.wav
2021-11-02 07:14:45.866 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/F79DD1E8-36F8-43ED-B4F7-C9952D6BCD39.json
2021-11-02 07:14:46.199 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/F3E77975-541E-4EF0-BA37-EEF485793B81.wav
2021-11-02 07:14:46.364 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/F3E77975-541E-4EF0-BA37-EEF485793B81.json
2021-11-02 07:14:46.599 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/1CB53CD5-046F-4DE6-8901-E3B4FD018615.wav
2021-11-02 07:14:46.759 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/1CB53CD5-046F-4DE6-8901-E3B4FD018615.json
2021-11-02 07:14:47.112 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/740A019E-0CF1-463C-BEDC-BDFBCACA8C72.wav
2021-11-02 07:14:47.268 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/740A019E-0CF1-463C-BEDC-BDFBCACA8C72.json
2021-11-02 07:14:47.547 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/491DD689-8CA9-45A9-916E-05485FA40AFC.wav
2021-11-02 07:14:47.746 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/491DD689-8CA9-45A9-916E-05485FA40AFC.json
2021-11-02 07:14:48.012 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/E1083890-B639-4C09-AE30-EE3786E7BB5D.wav
2021-11-02 07:14:48.168 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/E1083890-B639-4C09-AE30-EE3786E7BB5D.json
2021-11-02 07:14:48.380 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/270DBBDE-A2FE-4454-ABF5-049E111B580D.wav
2021-11-02 07:14:48.586 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/270DBBDE-A2FE-4454-ABF5-049E111B580D.json
2021-11-02 07:14:48.861 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/DFAAF46F-8769-47F3-BBAB-A04258532454.wav
2021-11-02 07:14:49.039 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/DFAAF46F-8769-47F3-BBAB-A04258532454.json
2021-11-02 07:14:49.314 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/866E57FB-3942-4CB8-BDB3-024F805A375D.wav
2021-11-02 07:14:49.472 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/866E57FB-3942-4CB8-BDB3-024F805A375D.json
2021-11-02 07:14:49.716 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/452FE9B3-0C9D-485E-8BBA-D60A5F94F7FF.wav
2021-11-02 07:14:49.870 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/452FE9B3-0C9D-485E-8BBA-D60A5F94F7FF.json
2021-11-02 07:14:50.093 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/72AE7C07-EF13-4043-9E56-CD84EB24675F.wav
2021-11-02 07:14:50.246 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/72AE7C07-EF13-4043-9E56-CD84EB24675F.json
2021-11-02 07:14:50.449 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/D8F19F49-CBF3-4A1C-8D95-6DD3EA4B1812.wav
2021-11-02 07:14:50.613 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/D8F19F49-CBF3-4A1C-8D95-6DD3EA4B1812.json
2021-11-02 07:14:50.888 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/45E1A449-210D-4A20-895B-C502FB810D34.wav
2021-11-02 07:14:51.040 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/45E1A449-210D-4A20-895B-C502FB810D34.json
2021-11-02 07:14:51.168 -07:00 | Debug   | 0001823D | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-11-02 07:14:51.290 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/4ADE8528-73A2-4BF7-8F3A-D9E06EC850A5.wav
2021-11-02 07:14:51.435 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/4ADE8528-73A2-4BF7-8F3A-D9E06EC850A5.json
2021-11-02 07:14:51.730 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/DF0F3F3B-0C6B-46F1-8D4E-67F4187E6F6A.wav
2021-11-02 07:14:51.886 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/DF0F3F3B-0C6B-46F1-8D4E-67F4187E6F6A.json
2021-11-02 07:14:52.131 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/A4F75F3E-576D-4CDB-BA99-4118EAB17087.wav
2021-11-02 07:14:52.291 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/A4F75F3E-576D-4CDB-BA99-4118EAB17087.json
2021-11-02 07:14:52.550 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/31C8E526-7B57-4D5F-A0D2-B36B39F188D6.wav
2021-11-02 07:14:52.702 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/31C8E526-7B57-4D5F-A0D2-B36B39F188D6.json
2021-11-02 07:14:52.957 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/98DE27D0-2F74-416E-8F7B-BA8A518439F7.wav
2021-11-02 07:14:53.163 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/98DE27D0-2F74-416E-8F7B-BA8A518439F7.json
2021-11-02 07:14:53.464 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/48606827-4633-4A87-B10C-B0BFE6508C70.wav
2021-11-02 07:14:53.625 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/48606827-4633-4A87-B10C-B0BFE6508C70.json
2021-11-02 07:14:53.871 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/2402F31B-C90A-48EE-B067-245EB544C21E.wav
2021-11-02 07:14:54.028 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/2402F31B-C90A-48EE-B067-245EB544C21E.json
2021-11-02 07:14:54.263 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/DE4267B7-655C-4C1A-A56E-046609BC5F8D.wav
2021-11-02 07:14:54.433 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/DE4267B7-655C-4C1A-A56E-046609BC5F8D.json
2021-11-02 07:14:54.662 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/B096F173-D10C-4D97-A60A-02F771F14136.wav
2021-11-02 07:14:54.824 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/B096F173-D10C-4D97-A60A-02F771F14136.json
2021-11-02 07:14:55.171 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/A8DADBC3-AAD0-4398-9488-BC9B4874D85F.wav
2021-11-02 07:14:55.337 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/A8DADBC3-AAD0-4398-9488-BC9B4874D85F.json
2021-11-02 07:14:55.616 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/64BD1A17-0491-40A5-A6F0-0CCE3E372657.wav
2021-11-02 07:14:55.778 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/64BD1A17-0491-40A5-A6F0-0CCE3E372657.json
2021-11-02 07:14:56.002 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/1CC00028-0F66-41F6-BF2B-8A0A815C4ED5.wav
2021-11-02 07:14:56.159 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/1CC00028-0F66-41F6-BF2B-8A0A815C4ED5.json
2021-11-02 07:14:56.446 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/4034E142-591B-4D05-8792-92500A2B020A.wav
2021-11-02 07:14:56.606 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/4034E142-591B-4D05-8792-92500A2B020A.json
2021-11-02 07:14:56.929 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/B465972E-B119-4962-B4AE-486CF386D58F.wav
2021-11-02 07:14:57.108 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/B465972E-B119-4962-B4AE-486CF386D58F.json
2021-11-02 07:14:57.436 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/7BB3A0E7-91A4-4BF8-9372-3A1C895351E5.wav
2021-11-02 07:14:57.600 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/7BB3A0E7-91A4-4BF8-9372-3A1C895351E5.json
2021-11-02 07:14:57.883 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/1852FD16-5BE6-4EC1-9489-4982C89FBBCF.wav
2021-11-02 07:14:58.039 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/1852FD16-5BE6-4EC1-9489-4982C89FBBCF.json
2021-11-02 07:14:58.439 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/7DA607A1-108F-43DD-99B9-90B9F1018F08.wav
2021-11-02 07:14:58.604 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/7DA607A1-108F-43DD-99B9-90B9F1018F08.json
2021-11-02 07:14:59.041 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/0CEA4A07-43D9-48C4-9636-9FC5615CF071.wav
2021-11-02 07:14:59.192 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/0CEA4A07-43D9-48C4-9636-9FC5615CF071.json
2021-11-02 07:14:59.592 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/9D2C9CDD-DBF0-4137-B2E5-9F469B2B9683.wav
2021-11-02 07:14:59.746 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/9D2C9CDD-DBF0-4137-B2E5-9F469B2B9683.json
2021-11-02 07:14:59.975 -07:00 | Info    | 00018229 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/A28CBB0A-6004-470B-9419-703280C6D6BA.wav
2021-11-02 07:15:00.140 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/A28CBB0A-6004-470B-9419-703280C6D6BA.json
2021-11-02 07:15:00.420 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/67A5704D-D888-4044-B0FB-0E2A466A3DAD.wav
2021-11-02 07:15:00.599 -07:00 | Info    | 0001822A | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/67A5704D-D888-4044-B0FB-0E2A466A3DAD.json
2021-11-02 07:15:00.854 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/D848C897-6257-4851-AFBA-B77C95A70368.wav
2021-11-02 07:15:01.014 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/D848C897-6257-4851-AFBA-B77C95A70368.json
2021-11-02 07:15:01.249 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/81DF32B6-7819-4D42-8DDC-B6227F04E415.wav
